Date,Price,Open,High,Low,Vol.,Change %
4/26/2026,72.92,73.59,74.63,71.54,1.20K,-1.35%
4/19/2026,73.92,75.69,75.69,73.26,3.86K,-3.33%
4/12/2026,76.47,71.09,76.48,70.98,9.55K,6.44%
4/5/2026,71.84,70.45,72.77,70.23,6.91K,1.66%
3/29/2026,70.67,70.11,73.66,70.11,5.21K,0.06%
3/22/2026,70.63,65.5,71.68,65.17,4.37K,5.84%
3/15/2026,66.73,68.45,69.24,62.29,5.71K,-2.30%
3/8/2026,68.3,68.92,72.95,66.84,3.71K,-2.01%
3/1/2026,69.7,67.92,73.07,67.81,4.14K,0.32%
2/22/2026,69.48,72.08,72.43,68.77,1.78K,-4.22%
2/15/2026,72.54,69.35,73.03,66.95,8.51K,4.45%
2/8/2026,69.45,78.24,80.31,69.35,10.39K,-10.18%
2/1/2026,77.32,79.7,82.97,74.83,16.26K,-3.11%
1/25/2026,79.8,86.84,87,79.26,7.94K,-8.05%
1/18/2026,86.79,89.9,89.9,82.31,16.79K,-3.95%
1/11/2026,90.36,88.24,91.94,87.93,7.94K,2.81%
1/4/2026,87.89,86.21,87.95,85.39,4.78K,1.43%
12/28/2025,86.65,86.58,87.21,85.21,1.43K,0.36%
12/21/2025,86.34,85.26,87.06,85.08,4.11K,1.12%
12/14/2025,85.38,84.56,86.67,83.94,7.96K,1.21%
12/7/2025,84.36,82.36,84.99,82.26,20.36K,2.19%
11/30/2025,82.55,83.5,83.82,81.84,22.00K,-0.85%
11/23/2025,83.26,80.3,83.32,79.57,227.07K,3.54%
11/16/2025,80.41,81.45,81.89,79.52,168.63K,-0.64%
11/9/2025,80.93,79.55,82.79,78.91,175.55K,1.84%
11/2/2025,79.47,78.78,82.41,78.78,175.70K,1.18%
10/26/2025,78.54,78.3,79.54,77.01,110.82K,0.28%
10/19/2025,78.32,79.5,79.99,77.91,115.45K,-1.43%
10/12/2025,79.46,79.54,79.9,76.68,149.73K,-0.28%
10/5/2025,79.68,79.72,80.37,77.9,134.85K,0.66%
9/28/2025,79.16,75.85,79.55,74.51,152.41K,4.19%
9/21/2025,75.98,77.69,77.69,75.1,120.53K,-2.02%
9/14/2025,77.55,75.6,78.45,75.11,137.80K,2.35%
9/7/2025,75.77,76.05,77.58,75.1,141.93K,-0.36%
8/31/2025,76.04,72.9,76.25,72.78,144.55K,4.18%
8/24/2025,72.99,72.51,73.3,71.31,103.26K,0.63%
8/17/2025,72.53,70.89,72.8,70.3,104.28K,2.62%
8/10/2025,70.68,72.98,73.15,70.28,95.49K,-3.46%
8/3/2025,73.21,71,73.35,70.15,113.89K,3.05%
7/27/2025,71.04,71.5,73.35,70.06,119.66K,-0.42%
7/20/2025,71.34,70.12,71.5,68.86,112.87K,2.07%
7/13/2025,69.89,70.1,72.39,69.52,99.18K,-0.94%
7/6/2025,70.55,71.7,71.99,69.64,96.38K,-1.56%
6/29/2025,71.67,71.03,72.79,68.71,109.45K,1.00%
6/22/2025,70.96,72.85,74.57,70.11,156.89K,-2.75%
6/15/2025,72.97,75.76,76.47,71.73,145.18K,-3.91%
6/8/2025,75.94,73.88,76.75,72.31,145.85K,4.50%
6/1/2025,72.67,70.1,73.1,69.69,5.82K,4.40%
5/25/2025,69.61,72.1,72.62,69.43,7.08K,-1.63%
5/18/2025,70.76,70,72.58,68.99,3.55K,0.86%
5/11/2025,70.16,71.81,72.84,70.15,4.90K,0.80%
5/4/2025,69.6,66.25,70.45,66.25,4.55K,2.35%
4/27/2025,68,65,68.18,63.78,3.72K,3.52%
4/20/2025,65.69,64.47,65.85,63.66,4.12K,0.88%
4/13/2025,65.12,65.67,66.74,64.83,7.83K,1.62%
4/6/2025,64.08,60.5,63.79,59.7,1.48K,1.59%
3/30/2025,63.08,67.1,69.01,62.03,1.70K,-7.11%
3/23/2025,67.91,70.55,70.72,67.21,6.89K,-3.69%
3/16/2025,70.51,68.9,73.02,68.67,4.98K,0.64%
3/9/2025,70.06,68.84,70.25,66.72,2.93K,4.24%
3/2/2025,67.21,70.91,71.29,65.48,8.00K,-3.38%
2/23/2025,69.56,72.78,72.79,69.26,4.51K,-3.88%
2/16/2025,72.37,77.67,77.7,70.82,5.17K,-7.36%
2/9/2025,78.12,81.53,82.55,75.74,6.85K,-3.14%
2/2/2025,80.65,81.73,81.73,78.06,4.99K,-1.87%
1/26/2025,82.19,79.41,82.67,77.15,6.50K,2.80%
1/19/2025,79.95,77.4,80.05,76.33,11.69K,3.03%
1/12/2025,77.6,74,78.57,74,4.85K,5.81%
1/5/2025,73.34,73.99,73.99,70.1,2.01K,-1.49%
12/29/2024,74.45,69.53,74.7,69.05,1.76K,6.13%
12/22/2024,70.15,66.38,70.38,66.36,1.40K,4.94%
12/15/2024,66.85,64.67,67,62.89,11.93K,2.67%
12/8/2024,65.11,69.15,70.16,64.82,22.57K,-5.64%
12/1/2024,69,69.3,70.5,67.8,6.30K,-0.17%
11/24/2024,69.12,69.94,72,67.87,9.96K,-0.22%
11/17/2024,69.27,67.28,70.96,66.96,180.91K,1.85%
11/10/2024,68.01,67.27,68.8,65.39,170.74K,-0.01%
11/3/2024,68.02,64.09,68.28,62.37,149.19K,6.50%
10/27/2024,63.87,66.25,67.75,63.22,139.63K,-4.63%
10/20/2024,66.97,62.45,67.57,61.29,153.70K,7.53%
10/13/2024,62.28,64.75,66.18,62.22,118.30K,-3.62%
10/6/2024,64.62,61.52,65.21,59.95,184.11K,4.14%
9/29/2024,62.05,66.46,66.97,61.41,158.63K,-6.45%
9/22/2024,66.33,63.7,66.75,63.34,144.34K,4.64%
9/15/2024,63.39,64.85,65.42,62.39,166.83K,-2.46%
9/8/2024,64.99,66.5,67.45,64.6,140.40K,-2.27%
9/1/2024,66.5,70.03,70.99,65.95,154.01K,-5.41%
8/25/2024,70.3,71.1,72.21,69.96,101.95K,-1.17%
8/18/2024,71.13,72.5,74.75,70.62,109.15K,-1.92%
8/11/2024,72.52,70.08,74.13,69.46,117.94K,3.39%
8/4/2024,70.14,69.89,71.86,67.85,118.32K,-0.62%
7/28/2024,70.58,67.7,71.5,67.2,133.30K,3.99%
7/21/2024,67.87,66.28,69.04,64.24,131.43K,2.83%
7/14/2024,66,69.58,69.58,65.73,,-4.83%
7/7/2024,69.35,70.59,71.85,67.6,,-1.42%
6/30/2024,70.35,67.41,71.95,67.13,,4.44%
6/23/2024,67.36,68.02,69.09,65.79,,-1.01%
6/16/2024,68.05,68.7,71.59,67.63,,-0.70%
6/9/2024,68.53,71.14,72.17,68.18,,-4.05%
6/2/2024,71.42,74.44,77.8,70.96,,-3.58%
5/26/2024,74.07,75.7,76.99,72.95,,-2.26%
5/19/2024,75.78,71,78.1,71,,7.46%
5/12/2024,70.52,71.33,71.83,68.75,,-1.49%
5/5/2024,71.59,71.74,75.5,69.61,,-0.35%
4/28/2024,71.84,67,74.55,65.01,,6.41%
4/21/2024,67.51,68,69.92,64.8,,-1.47%
4/14/2024,68.52,71.55,74.9,68.13,,-4.36%
4/7/2024,71.64,60.72,71.81,59.69,,17.42%
3/31/2024,61.01,61.22,61.5,56.91,,-1.49%
3/24/2024,61.93,61.69,65.74,61.08,,0.70%
3/17/2024,61.5,59.5,62.87,58.8,,3.57%
3/10/2024,59.38,58.22,60.25,55.08,,1.50%
3/3/2024,58.5,56.4,62.8,53.5,,3.89%
